trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
95,False,"{'a': 0.8, 'e': 0.8099999999999998}",20,0,-85.48090370077135,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
96,False,"{'a': 0.8, 'e': 0.8079999999999998}",30,0,-163.7614957954923,"{0: 17, 1: 0, 2: 10, 3: 2, 4: 1}",0
97,False,"{'a': 0.8, 'e': 0.8059999999999998}",30,0,-192.74228823646845,"{0: 16, 1: 4, 2: 6, 3: 1, 4: 3}",0
98,False,"{'a': 0.8, 'e': 0.8039999999999998}",20,0,-233.1060933418123,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 5}",0
99,False,"{'a': 0.8, 'e': 0.8019999999999998}",30,0,-66.60272480426937,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 0}",0
100,False,"{'a': 0.8, 'e': 0.7999999999999998}",35,6,-102.82100667737832,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 1}",1
101,False,"{'a': 0.8, 'e': 0.7979999999999998}",25,0,-108.20799375637768,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
102,False,"{'a': 0.8, 'e': 0.7959999999999998}",25,0,-92.07614042396155,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
103,False,"{'a': 0.8, 'e': 0.7939999999999998}",20,12,-69.50347114145077,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 2}",1
104,False,"{'a': 0.8, 'e': 0.7919999999999998}",30,0,-181.81114970806448,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
105,False,"{'a': 0.8, 'e': 0.7899999999999998}",25,1,-129.89972209667891,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 2}",1
106,False,"{'a': 0.8, 'e': 0.7879999999999998}",20,0,-21.062561344512666,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
107,False,"{'a': 0.8, 'e': 0.7859999999999998}",20,0,-99.41417478192884,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
108,False,"{'a': 0.8, 'e': 0.7839999999999998}",30,0,-62.62384678585322,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
109,False,"{'a': 0.8, 'e': 0.7819999999999998}",25,13,15.367352276812522,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.8, 'e': 0.7799999999999998}",20,0,-64.8707394684475,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
111,False,"{'a': 0.8, 'e': 0.7779999999999998}",20,0,-16.00494729251283,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
112,False,"{'a': 0.8, 'e': 0.7759999999999998}",20,0,-29.6814368588143,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
